customer_zip_code_prefix,geolocation_lat,geolocation_lng
2371,-23.458981473772283,-46.61859465944376
2372,-23.45973268964888,-46.62452278282069
2373,-23.45523909797162,-46.61729716528646
2374,-23.455717506939237,-46.62057718089615
2375,-23.453937576461435,-46.62483293186277
2376,-23.457830647238737,-46.628224381210686
2377,-23.456584210240063,-46.63195211311054
2378,-23.452568810995984,-46.62940309888339
2401,-23.49364414071786,-46.62617257661918
2402,-23.487407382451423,-46.62658904856028
2403,-23.493689790178287,-46.62826754746376
2404,-23.491463521784304,-46.6288605
2405,-23.49026363140068,-46.63322417485143
2406,-23.48799769415712,-46.630488719401
2407,-23.48535959449485,-46.624283978908174
2408,-23.482943033072694,-46.627521310361274
2409,-23.47924069386577,-46.62555937795024
2410,-23.475841994171617,-46.6233523477696
2411,-23.47416101610016,-46.62516585290548
2413,-23.486135968462158,-46.64040972209432
2415,-23.471096235143307,-46.63097740161001
2416,-23.478976885654085,-46.6270734970858
2417,-23.47774497584976,-46.63043288051818
2418,-23.47037633946894,-46.62881197029413
2419,-23.477206354559883,-46.6400967485429
2420,-23.473127074383964,-46.63734175243804
2421,-23.473542180261447,-46.63169094754457
2422,-23.47079222925442,-46.63750338634656
2423,-23.46801349723004,-46.633554728691834
2430,-23.482295622540228,-46.647257882739886
2431,-23.487157267557254,-46.636450606440064
2432,-23.485840866440782,-46.63530509945437
2433,-23.481898176524865,-46.63624845281035
2434,-23.483300997673965,-46.63954951956261
2435,-23.48018497085809,-46.64212652622771
2436,-23.479927669167274,-46.636987635726186
2440,-23.477968986635737,-46.64873563266778
2441,-23.4730199023025,-46.64124863281201
2442,-23.473126288270716,-46.6436752857349
2443,-23.472852359700497,-46.64749129087078
2450,-23.499172288649078,-46.63758926268022
2451,-23.499067839038236,-46.64201796734461
2452,-23.50122948542905,-46.644282319320205
2460,-23.491140296699168,-46.63725496061621
2461,-23.492479159587976,-46.639056231894486
2462,-23.491977681855435,-46.64169701200301
2463,-23.487909700050515,-46.6449940582838
2464,-23.490161685815696,-46.650696732298506
2465,-23.480616568678517,-46.65801149999999
2466,-23.495238217746245,-46.64262322883605
2467,-23.49132150693923,-46.64659062971762
2468,-23.48808867860233,-46.64928473998495
2469,-23.485482000000005,-46.643816048242265
2470,-23.484857153773934,-46.64938031668012
2471,-23.48160418373822,-46.65238418132882
2472,-23.476243640313832,-46.655173304056746
2473,-23.477742047319534,-46.651629287191994
2474,-23.47747537330483,-46.65706214544971
2475,-23.481059081597326,-46.64630746073055
2478,-23.47745354954124,-46.65968328420568
2479,-23.474879859798648,-46.656066297737894
2501,-23.514912288431223,-46.66118358067858
2508,-23.509848068295792,-46.66369014308379
2510,-23.51370739463197,-46.65240436372554
2511,-23.509961790178288,-46.65233489425243
2512,-23.513901747157924,-46.65897270330084
2513,-23.513987860118853,-46.655756486265766
2514,-23.510698124069435,-46.65449774409951
2515,-23.510186622540225,-46.65868439938831
2516,-23.508354237578637,-46.65964676762937
2517,-23.50741197169481,-46.66405252706442
2518,-23.509848068295792,-46.66543259296563
2519,-23.50233051501402,-46.65835292379554
2520,-23.50284477308609,-46.65309249323402
2521,-23.50392321954523,-46.66499887852776
2522,-23.50375048016325,-46.659327624271455
2523,-23.50541142576026,-46.65540039494491
2524,-23.50251148737661,-46.65043286878932
2525,-23.503032869828054,-46.64786106349182
2526,-23.502866034003663,-46.647411585204
2530,-23.500984159587976,-46.66086110505508
2531,-23.501903940331207,-46.65286356841134
2532,-23.500329925341898,-46.654473121847744
